gvkey,iid,cik,first_date,last_date
294524,01,1489393,2010-04-28,2025-08-01
021864,01C,1061574,2001-07-31,2025-04-30
015181,08W,842180,2003-05-02,2025-07-31
008101,06,1206264,2013-06-03,2013-06-03
014946,01,1077428,2000-08-11,2025-07-17
028216,04,898174,1996-05-13,2025-08-01
015181,94W,842180,2003-05-02,2025-07-31
293884,01W,1500866,2011-01-12,2019-11-07
186683,01,1383729,2011-03-09,2014-05-08
018430,01,1175505,2013-07-26,2021-03-22
030651,01,916540,1996-08-13,2025-08-06
064156,01,1020416,1996-11-04,2016-10-31
017934,01,1575515,2013-05-09,2025-04-30
143132,03,40729,1994-03-10,2025-08-04
019876,01,1580732,2013-08-23,2015-11-05
178552,01,1413159,2007-09-26,2024-02-13
035938,01,1042046,1998-03-27,2025-08-07
020330,01,1470099,2014-03-10,2020-10-30
027920,01,819050,1996-08-13,2019-07-12
017709,01,1496631,2013-04-08,2016-10-20
020530,05W,1577552,2014-05-06,2025-06-26
021146,90,1604929,2014-04-17,2016-08-31
006375,01,55067,1994-03-29,2025-05-01
062965,01,1402436,2007-06-13,2025-04-30
019484,03,1590364,2013-10-30,2025-07-31
043271,01,1587987,2013-10-01,2025-08-08
022397,01,1610128,2014-06-09,2015-08-05
177256,01,1244937,2007-02-12,2017-08-09
020884,01,1328015,2014-01-17,2016-08-02
213288,01W,1355444,2012-04-26,2024-03-18
163024,01,1310445,2005-06-08,2017-02-03
028853,01W,1645494,2016-02-29,2019-03-01
136964,01,1100663,2006-01-09,2025-07-02
183640,04,1418819,2009-11-16,2025-07-24
102983,07W,1037962,2001-09-13,2018-08-02
156735,01,1100663,2006-01-09,2025-07-02
117116,90,1075880,2002-12-20,2025-06-10
148436,03,1167470,2003-10-31,2020-10-30
024426,01,1810997,2020-06-02,2025-08-19
033825,90,1716338,2017-12-13,2025-04-17
037258,02,1825042,2020-12-29,2021-11-29
038971,90,1851682,2021-06-08,2023-08-03
036755,02,1805651,2020-07-02,2021-08-11
178923,01,1752036,2020-03-04,2024-07-29
032625,90,1691445,2017-01-20,2025-05-21
138483,90W,1109354,2000-04-14,2025-08-06
037492,03,1821769,2020-11-04,2021-11-24
037994,02,1835814,2020-12-23,2023-08-14
036559,90,1799567,2020-08-04,2025-08-12
039810,01,1868778,2021-06-24,2025-08-08
038475,01,1846163,2021-06-22,2023-04-18
038090,03,1837739,2021-03-03,2022-11-21
039158,02,1816233,2021-02-16,2024-08-09
037592,01,1796129,2020-10-08,2025-05-15
